metric,orig,surr,orig-surr
spike_count,6.0,5.0,1.0
latency,41.39000000000032,57.69000000000055,-16.30000000000023
mean_isi,6.474999999999907,42.833333333330906,-36.358333333331
std_isi,1.6813313177360087,54.635844969719436,-52.954513651983426
peak_voltage,10.112284500087327,3.822127314132739,6.2901571859545875
AP_amplitude,55.32858931710395,49.962897484055006,5.365691833048942
AP_begin_voltage,-45.21630481701662,-46.14077016992227,0.9244653529056492
AP_rise_rate,61.47621035233684,55.514330537838106,5.961879814498737
AP_fall_rate,-24.673286844417298,-45.08051394888932,20.40722710447202
AP_duration_half_width,1.0000000000000142,0.70000000000001,0.30000000000000426
AP_rise_time,0.9000000000000128,0.9000000000000128,0.0
AP_fall_time,1.900000000000027,0.70000000000001,1.200000000000017
AHP_depth,9.342792902025707,9.67761121126074,-0.33481830923503253
AHP_time_from_peak,4.600000000000065,2.2000000000000313,2.400000000000034
