metric,orig,surr,orig-surr
spike_count,7.0,9.0,-2.0
latency,2.190000000000001,2.290000000000001,-0.10000000000000009
mean_isi,14.639999999999834,11.171428571428441,3.4685714285713924
std_isi,0.04898979485554301,0.04517539514509476,0.003814399710448245
peak_voltage,40.0157208785081,36.015329138021045,4.0003917404870535
AP_amplitude,96.00626167366482,92.80282052321607,3.2034411504487537
AP_begin_voltage,-55.990540795156726,-56.78749138519502,0.7969505900382927
AP_rise_rate,80.00521806138731,71.38678501785847,8.618433043528839
AP_fall_rate,-45.8770685072641,-45.95151537841128,0.07444687114718107
AP_duration_half_width,1.300000000000001,1.3000000000000012,-2.220446049250313e-16
AP_rise_time,1.2000000000000006,1.3000000000000007,-0.10000000000000009
AP_fall_time,2.4999999999999987,2.3999999999999986,0.10000000000000009
AHP_depth,-19.509977837753958,-20.084794076491605,0.5748162387376468
AHP_time_from_peak,2.699999999999998,2.899999999999997,-0.19999999999999885
