metric,orig,surr,orig-surr
spike_count,1.0,1.0,0.0
latency,20.790000000000024,21.09000000000003,-0.30000000000000426
mean_isi,,,
std_isi,,,
peak_voltage,24.28983306884707,10.7934770584102,13.49635601043687
AP_amplitude,72.14074325561452,59.19318866729678,12.947554588317743
AP_begin_voltage,-47.85091018676746,-48.39971160888658,0.5488014221191193
AP_rise_rate,80.1563813951261,59.19318866729594,20.96319272783016
AP_fall_rate,-38.48212675614739,-48.829984664916395,10.347857908769008
AP_duration_half_width,0.8000000000000114,0.70000000000001,0.10000000000000142
AP_rise_time,0.9000000000000128,1.0000000000000142,-0.10000000000000142
AP_fall_time,2.2000000000000313,1.5000000000000213,0.70000000000001
AHP_depth,-9.664424464106524,-9.947352172434414,0.2829277083278896
AHP_time_from_peak,5.200000000000074,2.10000000000003,3.100000000000044
