metric,orig,surr,orig-surr
spike_count,1.0,1.0,0.0
latency,20.790000000000024,21.09000000000003,-0.30000000000000426
mean_isi,,,
std_isi,,,
peak_voltage,24.289833909722052,10.793477056818448,13.496356852903604
AP_amplitude,72.14074410882786,59.19318999070741,12.94755411812045
AP_begin_voltage,-47.850910199105805,-48.399712933888964,0.548802734783159
AP_rise_rate,80.15638234314093,59.19318999070657,20.963192352434362
AP_fall_rate,-38.48212792463705,-48.829984529995535,10.347856605358487
AP_duration_half_width,0.8000000000000114,0.70000000000001,0.10000000000000142
AP_rise_time,0.9000000000000128,1.0000000000000142,-0.10000000000000142
AP_fall_time,2.2000000000000313,1.5000000000000213,0.70000000000001
AHP_depth,-9.664426306732203,-9.94734906974196,0.2829227630097577
AHP_time_from_peak,5.200000000000074,2.10000000000003,3.100000000000044
